panel,gender,row_order,system,endpoint,label_display,seed,baseline_auc_raw,baseline_auc_plotted,gait_auc
c,female,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,3,0.5512006746859603,0.5512006746859603,0.5966088153047183
c,female,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,4,0.5025300723511917,0.5025300723511917,0.5691553109325758
c,female,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,5,0.5423676150739047,0.5423676150739047,0.6298104665098317
c,female,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,6,0.5166896000710196,0.5166896000710196,0.65697545385947
c,female,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,7,0.5113853255803631,0.5113853255803631,0.6540458964001953
c,female,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,8,0.5699320875316259,0.5699320875316259,0.6089484664210573
c,female,3,medical_conditions,Peptic Ulcer Disease,Peptic Ulcer Disease,9,0.5360202405788095,0.5360202405788095,0.6081273025877758
c,female,4,medical_conditions,Fractures,Fractures,0,0.5,0.5,0.5244584389453605
c,female,4,medical_conditions,Fractures,Fractures,1,0.5188729781285114,0.5188729781285114,0.4849442978215613
c,female,4,medical_conditions,Fractures,Fractures,2,0.5014959889205362,0.5014959889205362,0.527419930840454
c,female,4,medical_conditions,Fractures,Fractures,3,0.5094462881183203,0.5094462881183203,0.5034318464901966
c,female,4,medical_conditions,Fractures,Fractures,4,0.5,0.5,0.506506571898926
c,female,4,medical_conditions,Fractures,Fractures,5,0.5143675908263433,0.5143675908263433,0.5086797843337079
c,female,4,medical_conditions,Fractures,Fractures,6,0.5287112284094175,0.5287112284094175,0.5016070448666022
c,female,4,medical_conditions,Fractures,Fractures,7,0.5027306697326818,0.5027306697326818,0.499525290269757
c,female,4,medical_conditions,Fractures,Fractures,8,0.5069878143318787,0.5069878143318787,0.4982535908089228
c,female,4,medical_conditions,Fractures,Fractures,9,0.507421150278293,0.507421150278293,0.5343533059830847
c,female,5,medical_conditions,Headache,Headache,0,0.5001990754053396,0.5001990754053396,0.6383352872215708
c,female,5,medical_conditions,Headache,Headache,1,0.5066634962065075,0.5066634962065075,0.6123780663142294
c,female,5,medical_conditions,Headache,Headache,2,0.5,0.5,0.5934437833174812
c,female,5,medical_conditions,Headache,Headache,3,0.5353358844477869,0.5353358844477869,0.6053440686588953
c,female,5,medical_conditions,Headache,Headache,4,0.5327810834125949,0.5327810834125949,0.6082970205047669
c,female,5,medical_conditions,Headache,Headache,5,0.5,0.5,0.5383441350173638
c,female,5,medical_conditions,Headache,Headache,6,0.5270410758919685,0.5270410758919685,0.6283040987414011
c,female,5,medical_conditions,Headache,Headache,7,0.5254484726492513,0.5254484726492513,0.6108628812847
c,female,5,medical_conditions,Headache,Headache,8,0.5194706806166913,0.5194706806166913,0.606394744409299
c,female,5,medical_conditions,Headache,Headache,9,0.5124864518126921,0.5124864518126921,0.5813997212944325
c,female,6,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,0,0.5,0.5,0.4639447958596895
c,female,6,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,1,0.5,0.5,0.5167337550316273
c,female,6,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,2,0.5,0.5,0.5159574468085106
c,female,6,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,3,0.5,0.5,0.4985911443358252
c,female,6,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,4,0.5,0.5,0.409286946520989
c,female,6,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,5,0.5,0.5,0.4445658424381828
c,female,6,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,6,0.5,0.5,0.5033640023001725
c,female,6,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,7,0.5,0.5,0.4716791259344451
c,female,6,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,8,0.5,0.5,0.4411155836687751
c,female,6,medical_conditions,Urinary Tract Stones,Urinary Tract Stones,9,0.5,0.5,0.4658424381828637
c,female,7,medical_conditions,Depression,Depression,0,0.5755470136014192,0.5755470136014192,0.6006278916060805
c,female,7,medical_conditions,Depression,Depression,1,0.5542230493616724,0.5542230493616724,0.6275611368142763
c,female,7,medical_conditions,Depression,Depression,2,0.5806084113124849,0.5806084113124849,0.6124204264792847
c,female,7,medical_conditions,Depression,Depression,3,0.5603367307892998,0.5603367307892998,0.6138640553796918
c,female,7,medical_conditions,Depression,Depression,4,0.5531794622047518,0.5531794622047518,0.5805040525967927
c,female,7,medical_conditions,Depression,Depression,5,0.5627282846905765,0.5627282846905765,0.5897311023759001
c,female,7,medical_conditions,Depression,Depression,6,0.5750252200229589,0.5750252200229589,0.6259087904824852
c,female,7,medical_conditions,Depression,Depression,7,0.5523402441993948,0.5523402441993948,0.5888179636135945
