system,label,gender,seed_idx,baseline_auc,gait_auc
medical_conditions,Peptic Ulcer Disease,female,8,0.5585245683341471,0.6085933685472058
medical_conditions,Peptic Ulcer Disease,female,9,0.5301500288517023,0.6048648408717653
medical_conditions,Tinnitus,female,0,0.5805017103762828,0.7405929304446979
medical_conditions,Tinnitus,female,1,0.6023945267958951,0.6685290763968074
medical_conditions,Tinnitus,female,2,0.6709236031927025,0.6371721778791334
medical_conditions,Tinnitus,female,3,0.5,0.603648802736602
medical_conditions,Tinnitus,female,4,0.6286202964652223,0.6347776510832384
medical_conditions,Tinnitus,female,5,0.6167616875712657,0.7540478905359179
medical_conditions,Tinnitus,female,6,0.6795895096921323,0.7366020524515393
medical_conditions,Tinnitus,female,7,0.6812998859749145,0.7419612314709236
medical_conditions,Tinnitus,female,8,0.525769669327252,0.6318129988597492
medical_conditions,Tinnitus,female,9,0.5889395667046751,0.6374002280501709
medical_conditions,Meniscus Tears,female,0,0.5,0.5818103940605368
medical_conditions,Meniscus Tears,female,1,0.5333380925185608,0.5764563106796117
medical_conditions,Meniscus Tears,female,2,0.5,0.5636778983438036
medical_conditions,Meniscus Tears,female,3,0.5,0.5598943460879497
medical_conditions,Meniscus Tears,female,4,0.5,0.5250571102227298
medical_conditions,Meniscus Tears,female,5,0.5,0.5338378069674472
medical_conditions,Meniscus Tears,female,6,0.5542547115933752,0.5844517418617933
medical_conditions,Meniscus Tears,female,7,0.5335522558537978,0.5760279840091377
medical_conditions,Meniscus Tears,female,8,0.5039977155910909,0.5326242147344374
medical_conditions,Meniscus Tears,female,9,0.5,0.6215019988577956
medical_conditions,Diabetes,female,0,0.5222431569581828,0.5977390485162506
medical_conditions,Diabetes,female,1,0.5074056628460772,0.568535091851154
medical_conditions,Diabetes,female,2,0.5100748416810592,0.5698173444287434
medical_conditions,Diabetes,female,3,0.5,0.5637724394201078
medical_conditions,Diabetes,female,4,0.5,0.548045219029675
medical_conditions,Diabetes,female,5,0.5463704401528235,0.6367038258229968
medical_conditions,Diabetes,female,6,0.5,0.5524938504213115
medical_conditions,Diabetes,female,7,0.5315067776207673,0.5371068194902392
medical_conditions,Diabetes,female,8,0.5343591353954047,0.6361804574239808
medical_conditions,Diabetes,female,9,0.5,0.5497199979065264
medical_conditions,Depression,female,0,0.5640588583156504,0.5990364211917766
medical_conditions,Depression,female,1,0.5537099523428531,0.6242825338296171
medical_conditions,Depression,female,2,0.5786951681914635,0.6076894980345776
medical_conditions,Depression,female,3,0.5615542491390406,0.6125595714335409
medical_conditions,Depression,female,4,0.5512836122030125,0.5802344592479215
medical_conditions,Depression,female,5,0.5633544369847289,0.5879830938880579
medical_conditions,Depression,female,6,0.5697768462796118,0.6217779246530073
medical_conditions,Depression,female,7,0.5583191289525863,0.5868438445750861
medical_conditions,Depression,female,8,0.5142536612516089,0.5983233033012141
medical_conditions,Depression,female,9,0.5540317250495703,0.5970623021532682
medical_conditions,IBS,female,0,0.6105258377985651,0.668803923349378
medical_conditions,IBS,female,1,0.615929525020434,0.6378530560348743
medical_conditions,IBS,female,2,0.6173644537280901,0.6657615112160568
medical_conditions,IBS,female,3,0.6079011897193716,0.6494233039687586
medical_conditions,IBS,female,4,0.6079284352011625,0.6365634365634366
medical_conditions,IBS,female,5,0.61357733175915,0.6521660158023794
medical_conditions,IBS,female,6,0.6050131686495323,0.6460357823994187
medical_conditions,IBS,female,7,0.6083916083916083,0.6538007447098356
medical_conditions,IBS,female,8,0.6093452002542912,0.6465352828989193
medical_conditions,IBS,female,9,0.5884569975479066,0.6352919807465262
medical_conditions,Asthma,female,0,0.5238590726542534,0.5624680540343191
medical_conditions,Asthma,female,1,0.5189424364123159,0.5592734574662286
medical_conditions,Asthma,female,2,0.5382803943044907,0.5565230619447487
medical_conditions,Asthma,female,3,0.534118291347207,0.5885359620299381
medical_conditions,Asthma,female,4,0.5440367530728978,0.5694900815382743
medical_conditions,Asthma,female,5,0.504052573932092,0.5727394426189606
medical_conditions,Asthma,female,6,0.5236886941706219,0.5644091517585493
medical_conditions,Asthma,female,7,0.5306072775952293,0.555080929779725
medical_conditions,Asthma,female,8,0.5221005233053426,0.5531215772179627
medical_conditions,Asthma,female,9,0.5263234757210661,0.5753255446026531
medical_conditions,Perimenopausal Disorders,female,0,0.5,0.4681224899598393
medical_conditions,Perimenopausal Disorders,female,1,0.5879231210556513,0.5910068846815835
medical_conditions,Perimenopausal Disorders,female,2,0.5496629374641423,0.6037363740676994
medical_conditions,Perimenopausal Disorders,female,3,0.5780622489959839,0.5363955823293172
medical_conditions,Perimenopausal Disorders,female,4,0.560025817555938,0.6343588640275387
medical_conditions,Perimenopausal Disorders,female,5,0.5605098967297762,0.5879589787722317
medical_conditions,Perimenopausal Disorders,female,6,0.5403399311531841,0.6294104991394147
medical_conditions,Perimenopausal Disorders,female,7,0.5,0.5284351692484223
medical_conditions,Perimenopausal Disorders,female,8,0.5548085197934595,0.589393287435456
medical_conditions,Perimenopausal Disorders,female,9,0.571464429145152,0.6007960413080895
medications,ANTIMIGRAINEPREPARATIONS,female,0,0.5196510110893673,0.669194390084801
medications,ANTIMIGRAINEPREPARATIONS,female,1,0.5023646444879322,0.6187214611872145
medications,ANTIMIGRAINEPREPARATIONS,female,2,0.5162263535551206,0.6581865622961514
medications,ANTIMIGRAINEPREPARATIONS,female,3,0.5212818003913895,0.7439660795825179
medications,ANTIMIGRAINEPREPARATIONS,female,4,0.5317188519243314,0.659409654272668
medications,ANTIMIGRAINEPREPARATIONS,female,5,0.5,0.6580234833659491
medications,ANTIMIGRAINEPREPARATIONS,female,6,0.520221787345075,0.7114318330071755
medications,ANTIMIGRAINEPREPARATIONS,female,7,0.5,0.6462818003913895
medications,ANTIMIGRAINEPREPARATIONS,female,8,0.5,0.6053489889106327
medications,ANTIMIGRAINEPREPARATIONS,female,9,0.5,0.6462002609262882
medications,OTHERGYNECOLOGICALSinATC,female,0,0.5,0.555364314400459
medications,OTHERGYNECOLOGICALSinATC,female,1,0.5,0.5618545611015491
medications,OTHERGYNECOLOGICALSinATC,female,2,0.5,0.5634323006310958
medications,OTHERGYNECOLOGICALSinATC,female,3,0.5125143430866322,0.5377581755593803
medications,OTHERGYNECOLOGICALSinATC,female,4,0.5,0.5376147446930579
medications,OTHERGYNECOLOGICALSinATC,female,5,0.5,0.5619979919678715
medications,OTHERGYNECOLOGICALSinATC,female,6,0.5,0.5505952380952381
medications,OTHERGYNECOLOGICALSinATC,female,7,0.5,0.5822934595524957
medications,OTHERGYNECOLOGICALSinATC,female,8,0.5,0.6099397590361446
medications,OTHERGYNECOLOGICALSinATC,female,9,0.5046973608720597,0.5812535857716581
medications,OTHERPLAINVITAMINPREPARATIONSinATC,female,0,0.5864761904761905,0.7366349206349206
medications,OTHERPLAINVITAMINPREPARATIONSinATC,female,1,0.6125079365079364,0.7586666666666666
medications,OTHERPLAINVITAMINPREPARATIONSinATC,female,2,0.6244444444444444,0.7295873015873016
medications,OTHERPLAINVITAMINPREPARATIONSinATC,female,3,0.6281904761904762,0.748
medications,OTHERPLAINVITAMINPREPARATIONSinATC,female,4,0.6846349206349206,0.7434285714285713
medications,OTHERPLAINVITAMINPREPARATIONSinATC,female,5,0.6658412698412698,0.6316825396825396
medications,OTHERPLAINVITAMINPREPARATIONSinATC,female,6,0.6224761904761905,0.6637460317460318
medications,OTHERPLAINVITAMINPREPARATIONSinATC,female,7,0.6730158730158731,0.7026031746031746
medications,OTHERPLAINVITAMINPREPARATIONSinATC,female,8,0.6554920634920635,0.7008888888888889
medications,OTHERPLAINVITAMINPREPARATIONSinATC,female,9,0.6241904761904762,0.7406349206349206
medications,ADRENERGICSINHALANTS,female,0,0.6129938094326377,0.6143659454974791
medications,ADRENERGICSINHALANTS,female,1,0.5538962282213288,0.6690599272448784
medications,ADRENERGICSINHALANTS,female,2,0.6167911162167337,0.6236198863998978
medications,ADRENERGICSINHALANTS,female,3,0.5,0.5692450060629267
medications,ADRENERGICSINHALANTS,female,4,0.5379092475588743,0.6231412342842555
medications,ADRENERGICSINHALANTS,female,5,0.5167209139064395,0.5965919969366265
medications,ADRENERGICSINHALANTS,female,6,0.5249856404365307,0.5807326568383432
medications,ADRENERGICSINHALANTS,female,7,0.5382602591103453,0.6303848363009765
