target,setting,source,model,gender,metric,seed,value
liver_viscosity,full,gait,-,male,pearson_r,11,0.22570016026647188
liver_viscosity,full,gait,-,male,pearson_r,12,0.22476271185537858
liver_viscosity,full,gait,-,male,pearson_r,13,0.21166134241684753
liver_viscosity,full,gait,-,male,pearson_r,14,0.1998046551729816
liver_viscosity,full,gait,-,female,pearson_r,0,0.2457559802418967
liver_viscosity,full,gait,-,female,pearson_r,1,0.2510430334735382
liver_viscosity,full,gait,-,female,pearson_r,2,0.22050803608327635
liver_viscosity,full,gait,-,female,pearson_r,3,0.25409673310907527
liver_viscosity,full,gait,-,female,pearson_r,4,0.23394402505167183
liver_viscosity,full,gait,-,female,pearson_r,5,0.24944060908944837
liver_viscosity,full,gait,-,female,pearson_r,6,0.23419762549497414
liver_viscosity,full,gait,-,female,pearson_r,7,0.226764063876907
liver_viscosity,full,gait,-,female,pearson_r,8,0.2308776189121577
liver_viscosity,full,gait,-,female,pearson_r,9,0.2274069986380023
liver_viscosity,full,gait,-,female,pearson_r,10,0.24545040559975578
liver_viscosity,full,gait,-,female,pearson_r,11,0.25665524358359487
liver_viscosity,full,gait,-,female,pearson_r,12,0.24509868747860558
liver_viscosity,full,gait,-,female,pearson_r,13,0.22273529698807865
liver_viscosity,full,gait,-,female,pearson_r,14,0.2356760952365703
liver_viscosity,full,gait,-,overall,pearson_r,0,0.2967169061491755
liver_viscosity,full,gait,-,overall,pearson_r,1,0.307106283798315
liver_viscosity,full,gait,-,overall,pearson_r,2,0.2853360180770456
liver_viscosity,full,gait,-,overall,pearson_r,3,0.30125406327615023
liver_viscosity,full,gait,-,overall,pearson_r,4,0.2875271867087942
liver_viscosity,full,gait,-,overall,pearson_r,5,0.2960904609259984
liver_viscosity,full,gait,-,overall,pearson_r,6,0.28747037139406534
liver_viscosity,full,gait,-,overall,pearson_r,7,0.2875688193485273
liver_viscosity,full,gait,-,overall,pearson_r,8,0.2863363950459621
liver_viscosity,full,gait,-,overall,pearson_r,9,0.2878138564642388
liver_viscosity,full,gait,-,overall,pearson_r,10,0.2986525852603242
liver_viscosity,full,gait,-,overall,pearson_r,11,0.3102588438463087
liver_viscosity,full,gait,-,overall,pearson_r,12,0.3035713693026727
liver_viscosity,full,gait,-,overall,pearson_r,13,0.28619457555933725
liver_viscosity,full,gait,-,overall,pearson_r,14,0.28970025790455134
liver_viscosity,full,demo,lgbm,male,pearson_r,0,0.2218015740292252
liver_viscosity,full,demo,lgbm,male,pearson_r,1,0.21904399659844093
liver_viscosity,full,demo,lgbm,male,pearson_r,2,0.20141144962935184
liver_viscosity,full,demo,lgbm,male,pearson_r,3,0.2006764869728232
liver_viscosity,full,demo,lgbm,male,pearson_r,4,0.21179269671393375
liver_viscosity,full,demo,lgbm,male,pearson_r,5,0.19621419831294853
liver_viscosity,full,demo,lgbm,male,pearson_r,6,0.19550516082795016
liver_viscosity,full,demo,lgbm,male,pearson_r,7,0.20676002732319504
liver_viscosity,full,demo,lgbm,male,pearson_r,8,0.20939557158077118
liver_viscosity,full,demo,lgbm,male,pearson_r,9,0.2073943985900877
liver_viscosity,full,demo,lgbm,male,pearson_r,10,0.1986423311289752
liver_viscosity,full,demo,lgbm,male,pearson_r,11,0.20373700020490582
liver_viscosity,full,demo,lgbm,male,pearson_r,12,0.2056703273455421
liver_viscosity,full,demo,lgbm,male,pearson_r,13,0.1935419794843985
liver_viscosity,full,demo,lgbm,male,pearson_r,14,0.2104106058292713
liver_viscosity,full,demo,lgbm,female,pearson_r,0,0.2673795312407244
liver_viscosity,full,demo,lgbm,female,pearson_r,1,0.26787731408273074
liver_viscosity,full,demo,lgbm,female,pearson_r,2,0.2633209249920395
liver_viscosity,full,demo,lgbm,female,pearson_r,3,0.2581977904469085
liver_viscosity,full,demo,lgbm,female,pearson_r,4,0.2612926156623451
liver_viscosity,full,demo,lgbm,female,pearson_r,5,0.2647803397384702
liver_viscosity,full,demo,lgbm,female,pearson_r,6,0.26416884565181215
liver_viscosity,full,demo,lgbm,female,pearson_r,7,0.25904662808532414
liver_viscosity,full,demo,lgbm,female,pearson_r,8,0.25831737666212723
liver_viscosity,full,demo,lgbm,female,pearson_r,9,0.2595691480249394
liver_viscosity,full,demo,lgbm,female,pearson_r,10,0.25625038671456996
liver_viscosity,full,demo,lgbm,female,pearson_r,11,0.25008301008600775
liver_viscosity,full,demo,lgbm,female,pearson_r,12,0.2449731844322674
liver_viscosity,full,demo,lgbm,female,pearson_r,13,0.2618331997657483
liver_viscosity,full,demo,lgbm,female,pearson_r,14,0.27237104970633236
liver_viscosity,full,demo,lgbm,overall,pearson_r,0,0.24812380707622533
liver_viscosity,full,demo,lgbm,overall,pearson_r,1,0.24575304680454066
liver_viscosity,full,demo,lgbm,overall,pearson_r,2,0.23597712570173182
liver_viscosity,full,demo,lgbm,overall,pearson_r,3,0.23410958894836154
liver_viscosity,full,demo,lgbm,overall,pearson_r,4,0.24136768034953476
liver_viscosity,full,demo,lgbm,overall,pearson_r,5,0.23427045080978331
liver_viscosity,full,demo,lgbm,overall,pearson_r,6,0.23417028587143535
liver_viscosity,full,demo,lgbm,overall,pearson_r,7,0.2377909989570032
liver_viscosity,full,demo,lgbm,overall,pearson_r,8,0.23632842374996121
liver_viscosity,full,demo,lgbm,overall,pearson_r,9,0.23816926395062765
liver_viscosity,full,demo,lgbm,overall,pearson_r,10,0.23224334500012095
liver_viscosity,full,demo,lgbm,overall,pearson_r,11,0.2297528128857889
liver_viscosity,full,demo,lgbm,overall,pearson_r,12,0.22899182760642167
liver_viscosity,full,demo,lgbm,overall,pearson_r,13,0.23280006110927623
liver_viscosity,full,demo,lgbm,overall,pearson_r,14,0.24518399082202638
liver_viscosity,full,demo,ridge,male,pearson_r,0,0.2215001444480502
liver_viscosity,full,demo,ridge,male,pearson_r,1,0.2230484336346287
liver_viscosity,full,demo,ridge,male,pearson_r,2,0.22386625839481367
liver_viscosity,full,demo,ridge,male,pearson_r,3,0.2233501411855077
liver_viscosity,full,demo,ridge,male,pearson_r,4,0.22106535742493186
liver_viscosity,full,demo,ridge,male,pearson_r,5,0.22243454096021478
liver_viscosity,full,demo,ridge,male,pearson_r,6,0.2185448844745538
liver_viscosity,full,demo,ridge,male,pearson_r,7,0.22359712958913416
liver_viscosity,full,demo,ridge,male,pearson_r,8,0.22052494342929108
liver_viscosity,full,demo,ridge,male,pearson_r,9,0.22274760583653958
liver_viscosity,full,demo,ridge,male,pearson_r,10,0.22172991905620498
liver_viscosity,full,demo,ridge,male,pearson_r,11,0.22162958338395877
