system,label,model,sub_model,n_subjects_all,n_subjects_male,n_subjects_female,n_subjects_unknown_sex,n_observations_all,n_observations_male,n_observations_female
bone_density,femur_left_neck_bmc,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_neck_bmd,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_shaft_area,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_shaft_bmc,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_shaft_bmd,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_total_area,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_total_bmc,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_total_bmd,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_troch_area,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_troch_bmc,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_troch_bmd,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_upper_neck_area,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_upper_neck_bmc,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_upper_neck_bmd,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_wards_area,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_wards_bmc,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_left_wards_bmd,gait_no_room_A,ensemble,2634,1285,1349,0,2634,1285,1349
bone_density,femur_lower_neck_diff_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_lower_neck_diff_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_lower_neck_diff_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_lower_neck_mean_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_lower_neck_mean_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_lower_neck_mean_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_neck_diff_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_neck_diff_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_neck_diff_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_neck_mean_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_neck_mean_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
