system,endpoint,gender,seed_idx,baseline_auc,gait_auc
medical_conditions,Headache,female,4,0.5327810834125949,0.6082970205047669
medical_conditions,Headache,female,5,0.5,0.5383441350173638
medical_conditions,Headache,female,6,0.5270410758919685,0.6283040987414011
medical_conditions,Headache,female,7,0.5254484726492513,0.6108628812847
medical_conditions,Headache,female,8,0.5194706806166913,0.606394744409299
medical_conditions,Headache,female,9,0.5124864518126921,0.5813997212944325
medical_conditions,Depression,female,0,0.5755470136014192,0.6006278916060805
medical_conditions,Depression,female,1,0.5542230493616724,0.6275611368142763
medical_conditions,Depression,female,2,0.5806084113124849,0.6124204264792847
medical_conditions,Depression,female,3,0.5603367307892998,0.6138640553796918
medical_conditions,Depression,female,4,0.5531794622047518,0.5805040525967927
medical_conditions,Depression,female,5,0.5627282846905765,0.5897311023759001
medical_conditions,Depression,female,6,0.5750252200229589,0.6259087904824852
medical_conditions,Depression,female,7,0.5523402441993948,0.5888179636135945
medical_conditions,Depression,female,8,0.5300205238807527,0.6035586322050998
medical_conditions,Depression,female,9,0.5718161895154277,0.6016540856437194
medical_conditions,Asthma,female,0,0.5302178410612146,0.5636120238529877
medical_conditions,Asthma,female,1,0.5313709382986491,0.5622550809297797
medical_conditions,Asthma,female,2,0.5460326153097238,0.5583242059145674
medical_conditions,Asthma,female,3,0.5429749300231228,0.5912011683096021
medical_conditions,Asthma,female,4,0.5500547645125958,0.5720822684678106
medical_conditions,Asthma,female,5,0.5159729828404527,0.57429718875502
medical_conditions,Asthma,female,6,0.5273274917853231,0.5665206279664111
medical_conditions,Asthma,female,7,0.5374467567238651,0.556084945843982
medical_conditions,Asthma,female,8,0.5318790312766216,0.5573201898503103
medical_conditions,Asthma,female,9,0.5385633442862359,0.5777412681027139
medical_conditions,IBS,female,0,0.6135591681046227,0.668749432385796
medical_conditions,IBS,female,1,0.622441195168468,0.639551357733176
medical_conditions,IBS,female,2,0.6189265280174371,0.6651439469621288
medical_conditions,IBS,female,3,0.6116519843792572,0.650740168921987
medical_conditions,IBS,female,4,0.6089455998546908,0.6360003632730905
medical_conditions,IBS,female,5,0.6154845154845155,0.6512215057669603
medical_conditions,IBS,female,6,0.6074470983561893,0.6459086368177278
medical_conditions,IBS,female,7,0.6116701480337844,0.6531740986286441
medical_conditions,IBS,female,8,0.6123785305603487,0.6473980564889655
medical_conditions,IBS,female,9,0.5986922168740351,0.6359186268277177
medical_conditions,Oral apthae,female,0,0.5,0.4558661958014519
medical_conditions,Oral apthae,female,1,0.5202373945458113,0.4757798705120659
medical_conditions,Oral apthae,female,2,0.5,0.4576515597410241
medical_conditions,Oral apthae,female,3,0.5148518736511674,0.4776240926034922
medical_conditions,Oral apthae,female,4,0.5187953698253875,0.4706494016087895
medical_conditions,Oral apthae,female,5,0.519825387482833,0.4922797724151461
medical_conditions,Oral apthae,female,6,0.5162350402197371,0.4659211300765156
medical_conditions,Oral apthae,female,7,0.5011967824210319,0.4740239356484206
medical_conditions,Oral apthae,female,8,0.5065921130076515,0.4737688836570531
medical_conditions,Oral apthae,female,9,0.5166764763586423,0.4981557779085737
medical_conditions,Diabetes,female,0,0.5531742293400324,0.5979745642958079
medical_conditions,Diabetes,female,1,0.5602658711467001,0.5761762704767887
medical_conditions,Diabetes,female,2,0.5322918302192913,0.5703668812477102
medical_conditions,Diabetes,female,3,0.544590987596169,0.5646359972784843
medical_conditions,Diabetes,female,4,0.5,0.5515779557230335
medical_conditions,Diabetes,female,5,0.5881352383943057,0.6486627937405139
medical_conditions,Diabetes,female,6,0.5,0.5546396608572775
medical_conditions,Diabetes,female,7,0.5350656827340765,0.5380750510284189
medical_conditions,Diabetes,female,8,0.5508714083843618,0.6394253414978803
medical_conditions,Diabetes,female,9,0.5093159575024859,0.5505835557649029
